row_name,factor,coefficient_rel_error,rhs_rel_error
a1_v2h_din(253),8.131009366330357,1.2428342203382097e-16,2.575822218317533e-16
a1_v2h_din(254),8.057991812535013,1.2540961720320634e-16,2.572504968270899e-16
a1_v2h_din(255),7.951060631919139,0.0,0.0
a1_v2h_din(256),7.847124742775019,0.0,1.2813891601132806e-16
a1_v2h_din(257),7.746057388305095,0.0,3.837055109147611e-16
a1_v2h_din(258),7.647738936832293,0.0,2.553372962913226e-16
a1_v2h_din(259),7.5520563851363525,0.0,0.0
a1_v2h_din(260),7.5520563851363525,0.0,0.0
a1_v2h_din(261),7.5520563851363525,0.0,0.0
a1_v2h_din(262),7.4896794092315,0.0,1.2728832462731556e-16
a1_v2h_din(263),7.45890290292423,0.0,1.27213471022027e-16
a1_v2h_din(264),7.3981554811334735,0.0,0.0
a1_v2h_din(265),7.338458449738008,0.0,1.269179609661e-16
a1_v2h_din(266),7.308995168800617,0.0,0.0
a1_v2h_din(267),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(268),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(269),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(270),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(271),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(272),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(273),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(274),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(275),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(276),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(277),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(278),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(279),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(280),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(281),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(282),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(283),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(284),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(285),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(286),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(287),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(288),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(289),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(290),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(291),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(292),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(293),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(294),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(295),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(296),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(297),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(298),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(299),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(300),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(301),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(302),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(303),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(304),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(305),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(306),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(307),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(308),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(309),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(310),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(311),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(312),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(313),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(314),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(315),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(316),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(317),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(318),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(319),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(320),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(321),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(322),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(323),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(324),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(325),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(326),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(327),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(328),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(329),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(330),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(331),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(332),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(333),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(334),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(335),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(336),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(337),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(338),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(339),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(340),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(341),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(342),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(343),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(344),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(345),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(346),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(347),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(348),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(349),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(350),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(351),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(352),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(353),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(354),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(355),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(356),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(357),7.250822287400702,0.0,2.5340064354871496e-16
a1_v2h_din(358),7.338458449738008,0.0,1.269179609661e-16
a1_v2h_din(359),7.45890290292423,0.0,1.27213471022027e-16
a1_v2h_din(360),7.5520563851363525,0.0,0.0
a1_palmar_tangente_1(1),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(2),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(3),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(4),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(5),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(6),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(7),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(8),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(9),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(10),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(11),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(12),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(13),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(14),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(15),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(16),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(17),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(18),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(19),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(20),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(21),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(22),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(23),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(24),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(25),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(26),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(27),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(28),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(29),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(30),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(31),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(32),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(33),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(34),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(35),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(36),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(37),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(38),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(39),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(40),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(41),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(42),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(43),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(44),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(45),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(46),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(47),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(48),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(49),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(50),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(51),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(52),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(53),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(54),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(55),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(56),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(57),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(58),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(59),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(60),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(61),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(62),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(63),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(64),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(65),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(66),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(67),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(68),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(69),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(70),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(71),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(72),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(73),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(74),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(75),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(76),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(77),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(78),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(79),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(80),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(81),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(82),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(83),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(84),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(85),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(86),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(87),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(88),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(89),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(90),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(91),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(92),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(93),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(94),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(95),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(96),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(97),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(98),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(99),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(100),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(101),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(102),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(103),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(104),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(105),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(106),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(107),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(108),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(109),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(110),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(111),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(112),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(113),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(114),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(115),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(116),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(117),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(118),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(119),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(120),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(121),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(122),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(123),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(124),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(125),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(126),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(127),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(128),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(129),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(130),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(131),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(132),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(133),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(134),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(135),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(136),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(137),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(138),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(139),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(140),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(141),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(142),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(143),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(144),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(145),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(146),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(147),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(148),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(149),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(150),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(151),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(152),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(153),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(154),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(155),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(156),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(157),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(158),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(159),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(160),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(161),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(162),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(163),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(164),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(165),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(166),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(167),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(168),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(169),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(170),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(171),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(172),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(173),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(174),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(175),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(176),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(177),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(178),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(179),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(180),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(181),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(182),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(183),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(184),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(185),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(186),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(187),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(188),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(189),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(190),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(191),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(192),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(193),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(194),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(195),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(196),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(197),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(198),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(199),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(200),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(201),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(202),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(203),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(204),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(205),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(206),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(207),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(208),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(209),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(210),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(211),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(212),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(213),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(214),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(215),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(216),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(217),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(218),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(219),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(220),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(221),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(222),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(223),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(224),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(225),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(226),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(227),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(228),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(229),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(230),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(231),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(232),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(233),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(234),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(235),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(236),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(237),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(238),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(239),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(240),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(241),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(242),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(243),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(244),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(245),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(246),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(247),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(248),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(249),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(250),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(251),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(252),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(253),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(254),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(255),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(256),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(257),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(258),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(259),18696.994268044757,0.0,0.0
a1_palmar_tangente_1(260),18696.994268044757,0.0,0.0
